candidate_id,family,cell_support,item_support,meets_support_threshold,equivalence_class_id,equivalent_to,is_equivalence_representative,selection_eligible,exclusion_reasons
kc_cell__tense_na__aspect_none__voice_active__polarity_negative__clause_imperative__modal_none,full_cell,1,2,True,activation_class_027,kc_interaction__clause_imperative__and__polarity_negative,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_na__aspect_none__voice_active__polarity_positive__clause_imperative__modal_none,full_cell,1,1,True,activation_class_029,,True,True,[]
kc_cell__tense_past__aspect_none__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_031,,True,True,[]
kc_cell__tense_past__aspect_none__voice_active__polarity_positive__clause_polar_question__modal_none,full_cell,1,2,True,activation_class_033,kc_interaction__clause_polar_question__and__tense_past,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_past__aspect_perfect__voice_active__polarity_negative__clause_declarative__modal_none,full_cell,1,2,True,activation_class_013,,True,True,[]
kc_cell__tense_past__aspect_perfect__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,1,True,activation_class_012,,True,True,[]
kc_cell__tense_past__aspect_perfect__voice_passive__polarity_positive__clause_declarative__modal_none,full_cell,1,1,True,activation_class_003,kc_interaction__aspect_perfect__and__voice_passive,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_past__aspect_perfect_progressive__voice_active__polarity_negative__clause_declarative__modal_none,full_cell,1,2,True,activation_class_008,kc_interaction__aspect_perfect_progressive__and__polarity_negative,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_past__aspect_perfect_progressive__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,1,True,activation_class_007,,True,True,[]
kc_cell__tense_present__aspect_none__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_032,,True,True,[]
kc_cell__tense_present__aspect_none__voice_active__polarity_positive__clause_polar_question__modal_none,full_cell,1,2,True,activation_class_035,kc_interaction__clause_polar_question__and__tense_present,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_present__aspect_none__voice_passive__polarity_negative__clause_declarative__modal_none,full_cell,1,2,True,activation_class_002,kc_interaction__polarity_negative__and__voice_passive,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_present__aspect_perfect__voice_active__polarity_negative__clause_declarative__modal_none,full_cell,1,2,True,activation_class_017,,True,True,[]
kc_cell__tense_present__aspect_perfect__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_016,,True,True,[]
kc_cell__tense_present__aspect_perfect_progressive__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_010,kc_interaction__aspect_perfect_progressive__and__tense_present,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_present__aspect_progressive__voice_active__polarity_negative__clause_declarative__modal_none,full_cell,1,2,True,activation_class_022,kc_interaction__aspect_progressive__and__polarity_negative,False,False,"[""activation_equivalent_on_development_items""]"
kc_cell__tense_present__aspect_progressive__voice_active__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_024,,True,True,[]
kc_cell__tense_present__aspect_progressive__voice_passive__polarity_positive__clause_declarative__modal_none,full_cell,1,2,True,activation_class_004,kc_interaction__aspect_progressive__and__voice_passive,False,False,"[""activation_equivalent_on_development_items""]"
kc_feature__aspect__perfect,feature_value,5,8,True,activation_class_020,,True,True,[]
kc_feature__aspect__perfect_progressive,feature_value,3,5,True,activation_class_011,,True,True,[]
kc_feature__aspect__progressive,feature_value,3,6,True,activation_class_025,,True,True,[]
kc_feature__clause__imperative,feature_value,2,3,True,activation_class_030,,True,True,[]
kc_feature__clause__polar_question,feature_value,2,4,True,activation_class_037,,True,True,[]
kc_feature__polarity__negative,feature_value,6,12,True,activation_class_028,,True,True,[]
kc_feature__tense__past,feature_value,7,11,True,activation_class_034,,True,True,[]
kc_feature__tense__present,feature_value,9,18,True,activation_class_036,,True,True,[]
kc_feature__voice__passive,feature_value,3,5,True,activation_class_006,,True,True,[]
kc_interaction__aspect_perfect__and__polarity_negative,interaction,2,4,True,activation_class_018,,True,True,[]
kc_interaction__aspect_perfect__and__tense_past,interaction,3,4,True,activation_class_015,,True,True,[]
kc_interaction__aspect_perfect__and__tense_present,interaction,2,4,True,activation_class_019,,True,True,[]
kc_interaction__aspect_perfect__and__voice_passive,interaction,1,1,False,activation_class_003,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__aspect_perfect_progressive__and__polarity_negative,interaction,1,2,False,activation_class_008,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__aspect_perfect_progressive__and__tense_past,interaction,2,3,True,activation_class_009,,True,True,[]
kc_interaction__aspect_perfect_progressive__and__tense_present,interaction,1,2,False,activation_class_010,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__aspect_progressive__and__polarity_negative,interaction,1,2,False,activation_class_022,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__aspect_progressive__and__tense_present,interaction,3,6,True,activation_class_025,kc_feature__aspect__progressive,False,False,"[""activation_equivalent_on_development_items""]"
kc_interaction__aspect_progressive__and__voice_passive,interaction,1,2,False,activation_class_004,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__clause_imperative__and__polarity_negative,interaction,1,2,False,activation_class_027,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__clause_polar_question__and__tense_past,interaction,1,2,False,activation_class_033,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__clause_polar_question__and__tense_present,interaction,1,2,False,activation_class_035,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__polarity_negative__and__tense_past,interaction,2,4,True,activation_class_014,,True,True,[]
kc_interaction__polarity_negative__and__tense_present,interaction,3,6,True,activation_class_023,,True,True,[]
kc_interaction__polarity_negative__and__voice_passive,interaction,1,2,False,activation_class_002,,True,False,"[""below_interaction_support_threshold""]"
kc_interaction__tense_past__and__voice_passive,interaction,1,1,False,activation_class_003,kc_interaction__aspect_perfect__and__voice_passive,False,False,"[""below_interaction_support_threshold"", ""activation_equivalent_on_development_items""]"
kc_interaction__tense_present__and__voice_passive,interaction,2,4,True,activation_class_005,,True,True,[]
kc_operation__central_modal,operation,0,0,False,activation_class_001,,True,False,"[""no_development_item_support""]"
kc_operation__finite_tense_form,operation,16,29,True,activation_class_038,,True,True,[]
kc_operation__imperative,operation,2,3,True,activation_class_030,kc_feature__clause__imperative,False,False,"[""activation_equivalent_on_development_items""]"
kc_operation__negation,operation,6,12,True,activation_class_028,kc_feature__polarity__negative,False,False,"[""activation_equivalent_on_development_items""]"
kc_operation__operator_inversion,operation,2,4,True,activation_class_037,kc_feature__clause__polar_question,False,False,"[""activation_equivalent_on_development_items""]"
kc_operation__passive_dependency,operation,3,5,True,activation_class_006,kc_feature__voice__passive,False,False,"[""activation_equivalent_on_development_items""]"
kc_operation__perfect_dependency,operation,8,13,True,activation_class_021,,True,True,[]
kc_operation__progressive_dependency,operation,6,11,True,activation_class_026,,True,True,[]
kc_operation__subject_wh,operation,0,0,False,activation_class_001,kc_operation__central_modal,False,False,"[""no_development_item_support"", ""activation_equivalent_on_development_items""]"
kc_operation__wh_fronting,operation,0,0,False,activation_class_001,kc_operation__central_modal,False,False,"[""no_development_item_support"", ""activation_equivalent_on_development_items""]"
