grammar_regime,reference,candidate,available,n_learners,n_events,delta_log_loss,delta_log_loss_interval_95,delta_brier_score,delta_brier_interval_95,sign_convention
all_test,factorized,supported_interactions,True,1000,44000,-0.00039705638834889467,"[-0.000782064568956086, -2.600758015055349e-05]",-0.00017965592711709143,"[-0.0003560395876483959, -7.761800370470384e-06]",candidate_minus_reference; negative favours candidate
all_test,factorized,automated,True,1000,44000,-0.00037499658007401107,"[-0.0006308033158486051, -0.00010936756479462098]",-0.00016574172685790076,"[-0.00028127975144913995, -4.609487487324536e-05]",candidate_minus_reference; negative favours candidate
all_test,factorized,oracle_all_cell,True,1000,44000,0.013776501958288064,"[0.012287590045356038, 0.015234090290699274]",0.006789308770205883,"[0.006070000177074931, 0.007491395781924884]",candidate_minus_reference; negative favours candidate
development,factorized,supported_interactions,True,1000,32000,-0.00017642221531282516,"[-0.0006049541624651547, 0.00025168909623689165]",-7.872383126902205e-05,"[-0.0002760675488147581, 0.00011732586187789534]",candidate_minus_reference; negative favours candidate
development,factorized,automated,True,1000,32000,-0.0004497643710708019,"[-0.0007575669528185719, -0.00014147222138164735]",-0.0002031652445490907,"[-0.0003391300285979188, -6.494484365016224e-05]",candidate_minus_reference; negative favours candidate
development,factorized,oracle_all_cell,True,1000,32000,-0.00023375682175787293,"[-0.0007528098499007738, 0.00027126632671559846]",-0.00011534818930036005,"[-0.0003484519837684712, 0.00011169232738670996]",candidate_minus_reference; negative favours candidate
compositional_holdout,factorized,supported_interactions,True,1000,10000,-0.0011680242314965404,"[-0.0020421508947284397, -0.0002456895597132668]",-0.0005316335841855015,"[-0.0009353487702797716, -0.00010875221271984185]",candidate_minus_reference; negative favours candidate
compositional_holdout,factorized,automated,True,1000,10000,-0.00023449105397209654,"[-0.0008355980065997456, 0.00037532574350429126]",-9.050658563088609e-05,"[-0.00037150925259948165, 0.00019219250924817552]",candidate_minus_reference; negative favours candidate
compositional_holdout,factorized,oracle_all_cell,True,1000,10000,0.05961486194755654,"[0.053390119965936775, 0.0656751194672691]",0.02937521821221244,"[0.026350531823183747, 0.03230508042550828]",candidate_minus_reference; negative favours candidate
novel_feature_holdout,factorized,supported_interactions,True,1000,2000,-7.236394118777928e-05,"[-0.000280836217971483, 0.0001282327146004338]",-3.468117534415062e-05,"[-0.00013484368936812597, 6.171706684131926e-05]",candidate_minus_reference; negative favours candidate
novel_feature_holdout,factorized,automated,True,1000,2000,0.00011876044536507014,"[-9.90661263082916e-05, 0.00035198469026455673]",5.685885006606517e-05,"[-4.742060926588554e-05, 0.00016854267409930802]",candidate_minus_reference; negative favours candidate
novel_feature_holdout,factorized,oracle_all_cell,True,1000,2000,0.00874884249268066,"[0.002038683974170472, 0.01511744459303597]",0.004334272912272983,"[0.0010392498440938726, 0.0074639306830886695]",candidate_minus_reference; negative favours candidate
