evidence_type,grammar_regime,cell_id,item_id,features,prompt,target_answer,criterion
selected_item_by_grammar_regime,development,cell_001,candidate_cell_001_01,"{""aspect"": ""none"", ""clause"": ""polar_question"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""present"", ""voice"": ""active""}",You want to know whether Mia feeds the cat every morning. Use: Mia / feed the cat every morning. Response: ______,Does Mia feed the cat every morning?,
selected_item_by_grammar_regime,development,cell_001,candidate_cell_001_02,"{""aspect"": ""none"", ""clause"": ""polar_question"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""present"", ""voice"": ""active""}",Lena wants to know about Tom's daily trip to school. Complete the question using these words: Tom / walk / to school every day. ______,Does Tom walk to school every day?,
selected_item_by_grammar_regime,compositional_holdout,cell_007,candidate_cell_007_01,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""present"", ""voice"": ""active""}","Mia usually drinks tea, but she dislikes coffee. Complete the sentence with the cue (drink coffee): Mia ____.",Mia does not drink coffee.,
selected_item_by_grammar_regime,compositional_holdout,cell_007,candidate_cell_007_02,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""present"", ""voice"": ""active""}","Mia usually takes the bus to work, so she ___ to work. (walk)",She does not walk to work.,
selected_item_by_grammar_regime,novel_feature_holdout,cell_024,candidate_cell_024_02,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""would"", ""polarity"": ""positive"", ""tense"": ""NA"", ""voice"": ""active""}","The car is unavailable today. Complete the response using the words in brackets.
A: How would Ben get to work?
B: ____ (he / take / the bus)",He would take the bus.,
selected_item_by_grammar_regime,novel_feature_holdout,cell_024,candidate_cell_024_03,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""would"", ""polarity"": ""positive"", ""tense"": ""NA"", ""voice"": ""active""}","Mia does not have a free afternoon, but imagine that she did. Complete the result using the cue: Mia / visit / her aunt. Response: ___",Mia would visit her aunt.,
retained_validation_failure,development,cell_005,candidate_cell_005_01,"{""aspect"": ""none"", ""clause"": ""imperative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""NA"", ""voice"": ""active""}",The room is dark. Tell your friend what to do using the cue “turn on / light”: _____.,Turn on the light.,"[""determinacy""]"
retained_validation_failure,development,cell_005,candidate_cell_005_02,"{""aspect"": ""none"", ""clause"": ""imperative"", ""modal"": ""none"", ""polarity"": ""positive"", ""tense"": ""NA"", ""voice"": ""active""}",The floor is wet near the door. Tell your friend what to do: ____.,Walk carefully.,"[""determinacy""]"
retained_validation_failure,compositional_holdout,cell_007,candidate_cell_007_03,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""present"", ""voice"": ""active""}","Mia drinks tea, but she avoids coffee. Complete the sentence: Mia ____ coffee.",Mia does not drink coffee.,"[""determinacy""]"
retained_validation_failure,compositional_holdout,cell_010,candidate_cell_010_02,"{""aspect"": ""none"", ""clause"": ""declarative"", ""modal"": ""none"", ""polarity"": ""negative"", ""tense"": ""past"", ""voice"": ""active""}","Lena usually walks to work, but yesterday she took the bus. Complete the response using “walk to work”: Lena ______.",Lena did not walk to work.,"[""determinacy""]"
