item_id,gkc_aspect_perfect,gkc_aspect_progressive,gkc_be_passive,gkc_finite_past,gkc_finite_present,gkc_imperative,gkc_modal_can,gkc_modal_could,gkc_modal_may,gkc_modal_might,gkc_modal_must,gkc_modal_shall,gkc_modal_should,gkc_modal_will,gkc_modal_would,gkc_negation,gkc_non_subject_wh_question,gkc_polar_question
candidate_gc_0397fa37f2228649_01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_0397fa37f2228649_02,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_08d90a35b669ed28_02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
candidate_gc_0bbfaece19d0255d_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
candidate_gc_172c3f1039296750_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
candidate_gc_17fcb3b3c0156c98_03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_19656e31c58c2c07_01,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_19656e31c58c2c07_02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_19ed2b72505b3a96_01,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
candidate_gc_19ed2b72505b3a96_02,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
candidate_gc_2b730d0e1d9443b7_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
candidate_gc_2b730d0e1d9443b7_03,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
candidate_gc_2d6eb4f93cba4c6b_03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_2f1bd922c732c078_03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
candidate_gc_325e05b06bb38886_01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
candidate_gc_325e05b06bb38886_02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
candidate_gc_3aaf5191d5f45601_02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_3ac515345a227486_03,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
candidate_gc_44ff4acdb263024b_01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_44ff4acdb263024b_02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_4601bed02c004e37_01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_4601bed02c004e37_03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_4634bf1b005f7724_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
candidate_gc_4634bf1b005f7724_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
candidate_gc_4777747f8b0a6b46_01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
candidate_gc_483f3ac117f331a7_02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_4a2ccf1526ca832c_01,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
candidate_gc_4ad408e9b8193c7c_02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
candidate_gc_4ad408e9b8193c7c_03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
candidate_gc_63a057f3a47e95b1_03,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_6a255aa977e4289a_01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_6a255aa977e4289a_02,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_6a5e38b390521990_02,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_6a5e38b390521990_03,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_70772a95583e5587_02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
candidate_gc_7224db1e1a3bbebd_01,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_7224db1e1a3bbebd_03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_7ea73f7f16fe2684_01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
candidate_gc_7ea73f7f16fe2684_02,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
candidate_gc_809d40d141731b61_02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
candidate_gc_832cfb85e1f965ed_02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
candidate_gc_8b7e8b31b496e102_01,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_8b7e8b31b496e102_02,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_90b9229122fa55d6_01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
candidate_gc_90b9229122fa55d6_02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
candidate_gc_927e9714cc21a97d_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_927e9714cc21a97d_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_9d70af80c0843115_01,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_9e9b4cb1a49adcac_01,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_9e9b4cb1a49adcac_02,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_a0fe7953b9fffca8_02,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_a0fe7953b9fffca8_03,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_a7789cd4faa9d95a_01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
candidate_gc_a7789cd4faa9d95a_03,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
candidate_gc_b1516a79b61c8fd0_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
candidate_gc_b1516a79b61c8fd0_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
candidate_gc_b55bebc82e7087e7_02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_b55bebc82e7087e7_03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_b798d2e32a62c25c_03,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_b81e4f2e78894945_01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
candidate_gc_ba3d77af90f26ab2_03,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
candidate_gc_bba42336e267985f_01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
candidate_gc_bea554636af1b127_01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_bea554636af1b127_03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_c0167d1a83f95500_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
candidate_gc_c2cf343c43ce329d_02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_c2cf343c43ce329d_03,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_c2ed1b09f0bb32d4_02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_c2ed1b09f0bb32d4_03,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_ca719d192c20c030_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
candidate_gc_ca719d192c20c030_03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
candidate_gc_d15de8b5658bd6a5_01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_d15de8b5658bd6a5_03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_d2c20fe6a8269c51_01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_d2c20fe6a8269c51_03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_dfd385cd88abc20f_01,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
candidate_gc_dfd385cd88abc20f_02,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
candidate_gc_e5bdd8211eed997b_03,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_e730dbce7b036961_01,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_e730dbce7b036961_03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_e7fef77abc10b5ba_01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
candidate_gc_e7fef77abc10b5ba_02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
candidate_gc_edcc8d38860ff41d_01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
candidate_gc_edcc8d38860ff41d_02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
candidate_gc_f6431bc7f8a16c1b_02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
candidate_gc_f86ecd83135f0b52_02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
candidate_gc_fcb801c76c95c7bf_01,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_fcb801c76c95c7bf_03,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidate_gc_ffa50061bcce266c_01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cue_bounded_imperative_gc_04a854582c08aa84_01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
cue_bounded_imperative_gc_04a854582c08aa84_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
cue_bounded_imperative_gc_bb4f472f992ab76b_01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cue_bounded_imperative_gc_bb4f472f992ab76b_02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
determinacy_intervention_gc_0ce5f41f37500df4_01,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
determinacy_intervention_gc_0ce5f41f37500df4_02,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
determinacy_intervention_gc_28d8bf2edc192d4c_02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
determinacy_intervention_gc_2924f6e63e1c1da2_02,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
determinacy_intervention_gc_67bcfeedfa77f954_02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
determinacy_intervention_gc_a94168b2255fe062_01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
determinacy_intervention_gc_a94168b2255fe062_02,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
determinacy_intervention_gc_bdf25ed4941e5de3_01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
determinacy_intervention_gc_bdf25ed4941e5de3_02,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
packaging_correction_determinacy_intervention_gc_019f7fb10012b606_01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
unchanged_rescue_gc_16d9f6e33f0517ec_01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
unchanged_rescue_gc_4a4c9d34c1b5bce4_01,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
