item_id	interface_family	task_comprehensibility	answer_determinacy	response_space_fairness	lexical_context_accessibility	pedagogical_plausibility	format_plausibility	measurement_purity	learner_overall	platform_overall	primary_disposition	issue_tags	learner_note	platform_note	confidence	role_disagreement
packaging_correction_determinacy_intervention_gc_019f7fb10012b606_01	whole_response	concern	pass	concern	pass	pass	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage;punctuation_normalization_unspecified	The requested construction is explicit, but “negative declarative clause” is specialist wording and the whole-response accepted forms require periods.	A grammar-reference exercise could use it, but a mainstream practice UI would normally simplify the instruction and normalize punctuation.	high	false
candidate_gc_0397fa37f2228649_01	inline_cloze	pass	fail	fail	concern	concern	pass	fail	fail	fail	answer_space_problem	context_does_not_force_target;adjective_passive_ambiguity	“The gate was open” supports an adjectival state or simple-past completion as readily as past-perfect passive “had been opened.”	The item cannot cleanly attribute failure to perfect + passive + past because the visible context does not select that analysis.	high	false
candidate_gc_0397fa37f2228649_02	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The before-lunch/by-lunchtime contrast and verb cue make the expected span clear.	This is a recognizable platform cloze with a focused passive-perfect dependency.	high	false
cue_bounded_imperative_gc_04a854582c08aa84_01	chunk_reorder_in_text	concern	pass	pass	pass	concern	fail	pass	concern	fail	technically_valid_but_artificial	overconstrained_annotation_prompt;prompt_too_long	The 78-word rule set is answerable but burdens the learner with “all and only,” function-word, punctuation, and exclusion instructions.	A platform could implement the same task with draggable tiles, but the prose-as-UI is annotation-like and implausible as stored.	high	true
cue_bounded_imperative_gc_04a854582c08aa84_02	chunk_reorder_in_text	concern	pass	pass	pass	concern	fail	pass	concern	fail	technically_valid_but_artificial	overconstrained_annotation_prompt;prompt_too_long	The target is forced, but the long list of prohibited additions makes the task harder to parse than the grammar.	The underlying chunk task is plausible; this 76-word textual encoding is not a plausible mainstream interaction.	high	true
candidate_gc_08d90a35b669ed28_02	whole_response	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The completion-now context and supplied subject/predicate support a clear present-perfect question.	A short constrained question-production item is plausible and diagnostic.	high	false
candidate_gc_0bbfaece19d0255d_03	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The `will / drive` cues and closed-road context make the negative future span readily inferable.	This is a compact cloze that could appear in ordinary grammar practice.	high	false
determinacy_intervention_gc_0ce5f41f37500df4_01	whole_response	concern	pass	concern	pass	pass	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage;punctuation_normalization_unspecified	The answer is explicit, but “past perfect continuous declarative clause” assumes substantial grammatical metalanguage and accepted forms require punctuation.	Suitable for an explicit advanced grammar lesson, but less plausible as general platform practice without simpler wording and scoring normalization.	medium	false
determinacy_intervention_gc_0ce5f41f37500df4_02	inline_cloze	concern	pass	pass	concern	concern	concern	pass	concern	concern	technically_valid_but_artificial	technical_grammar_metalanguage;context_temporally_awkward	The construction is named, but “started ... this morning” followed by “Before today” is an awkward route to the negative target.	The item is technically usable in explicit-form practice, though the context feels built to force a cell rather than teach a natural message.	medium	false
unchanged_rescue_gc_16d9f6e33f0517ec_01	inline_cloze	pass	pass	pass	pass	pass	pass	pass	pass	pass	usable_as_stored		The promise and lexical cue clearly support “will carry.”	This is a conventional short cloze suitable for platform practice.	high	false
